short_question,short_answer
what can be done to prevent hpv transmission to my partner what are the risks if he is infected  hello  i found out i have hpv from an abnormal pap smear however i do not have genital warts or any external symptoms i am currently in a monogamous relationship with a man i was wondering what type of precautions should be taken to prevent spreading the disease to him and what are the risks if the disease is transmitted to him i know it slightly increases the risks of some cancers in men but is there anything else to be concerned about  thank you,you should be ejaculating since you are not and i am assuming that you have never ejaculated in three years during masturbation there could be a problem one possibility is retrograde ejaculation   a condition where the semen is ejaculated backwards into your urinary bladder and not out of your urethra there are other possibilities of course but this cannot be solved on line this may not be an issue that can be solved by a your primary care provider so i suggest that you see a urologist
i had a bad fall pain is still the same,these are after effects of meningitis and usually remain 3 6 months depending upon your immunity take immuno boosters and vitamin supplements
why is human resources important  expert hr and ir support for organisations based in melbourne and the south eastern suburbs we can provide practical and effective strategic and operational support that will contribute to the bottom line and success of your organisation <link>,a cough that may come in violent spasms but produces very little mucus mild flu like symptoms such as fever and chills sore throat headache tiredness lingering weakness that may persist after other symptoms go away some people with walking pneumonia may also have an ear infection anemia or a skin rash
i was in a bad car accident since then i commonly feel completely different,he is certainly old enough to have those other products but milk may not be the only issue behind the constipation problem you need to look at his whole diet you can try changing to soy or almond but do not be disappointed if this is not the magic solution i am guessing based on his age that he is picky so you will have to find a way of getting more fresh fruit smoothies  and vegetables in his diet his water intake should be high and keep using that miralax this is safe for long term use toddlers tend to stool hold try to keep from pooping because it is either inconvenient andor painful they can also be stealthy finding when they are having a challenging bowel movement this will eventually improve over time so hang in there
what can happen if i remove my i u d by myself,when you eat depends on your personal schedule if you are hungry late at night you may not have eaten enough for dinner if you want a snack before bedtime avoid foods and beverages with caffeine in them avoid fried and high fat foods because they can cause indigestion a sliced apple or a few baby carrots would make good choices raw fruits and veggies provide fiber for better digestion fluid for hydration important vitamins and minerals and are generally low in calories so they would certainly make good choices as late night snacks
could you recommend the best skin care products for anti aging including moisturizers,hi rased igg levels suggest you have an ongoing infection somewhere in your body some infections are not detected by routine blood tests but you seem to have undergone almost all non invasive tests and seen to be negative one test that can definitely confirm whats wrong is the muscle biopsy histopathology of muscle will rule out any muscle specific pathology thanks
can depression in children be prevented,in addition to fosamax plus d your doctor may suggest one or more of the following lifestyle changes stop smoking smoking may increase your chance of getting osteoporosis reduce the use of alcohol too much alcohol may increase the chance of osteoporosis and injuries that can cause fractures exercise regularly like muscles bones need exercise to stay strong and healthy exercise must be safe to prevent injuries including fractures talk with your doctor before you begin any exercise program eat a balanced diet having enough calcium in your diet is important your doctor can advise you whether you need to change your diet or take any dietary supplements such as calcium or additional vitamin d
i have tooth decay and many fillings from years ago can tooth whitening help or will it make my teeth look worse,tooth decay forms from the acid created by the plaque that is left on your teeth whitening will not help that oral hygiene cleaning and restoration of the decay is the best course for you after that you can then whiten your teeth
what is the difference between smoking a pipe a cigar or cigarettes,not enough information you did not disclose what kind of blood pressure medication you are taking and of course it would not be prudent to give you the okay blindly over the internet since we do not know anything about your medical history since these cleansing procedures have the potential of interfering with your electrolytes it would be wise very wise for you to get the specific okay from your medical provider
are there some people who should not get a seasonal flu vaccination,anyone with a severe allergy to eggs or egg products should not get a flu shot other people who should not get a flu shot include infants under 6 months old anyone who has had a severe reaction to a past flu shot or nasal spray people with moderate to severe illness with a fever they should be vaccinated after they have recovered someone with guillain barre syndrome
can you live without your ears,yes and be grateful that you have them
are there lifestyle and dietary factors that can decrease the risk of breast cancer,hi this is rhomboid muscle fibrosis it can be treated with soft tissue manipulation ultrasound and deep friction massage i recommend that you see a good physical therapist good luck
i have a cluster of tiny water like blisters on my tailbone it is red all around it and very painful please help,you cannot be accurately diagnosed over the internet so you will need to see your medical provider for that all important hands on evaluation when one mentions painful clusters of blisters the first consideration would be herpes simplex or herpes zoster shingles please get it checked out and properly treated
i have swimmers ear cyprodex does not work,in my opinion doctor may need to remove pus and debris from the ear with gentle cleaning or suction this will allow the ear drops to work more effectively also check for fungal infection which can cause bacterial infection to be recurrent ciprodex does not treat fungal infections good luck
i had my period twice this month and then turned around and had it again 2 weeks later but only 4 days am i pregnant,hi so 3 periods in 6 weeks i would not think so but please do go get a test done at your doctors this will clear your mind so if your trying to get pregnant just keep trying but if your not and your not on bc then its about time you was anytime you have unprotected sex there is always the chance of pregnancy so do go and get sorted out asap but please not depo shot just to many bad side effects just remember safe sex is the best sex hope this helps you good luck
on nurtisystem for 35 days lost 20 pounds a1c from 6 0 to 8 1  after being on the nutrisystem diabetic program for men for 35 days and losing a total of 20 pounds my a1c went from 6 0 to 8 1 i am 5 7 and a current weight of 177 2 pounds why would my a1c increase was it due to the previous 3 months,hi this is post injection malaise with bodyache happens with vaccines generally and subsides within 2 days give paracetamol twice  thrice a day depending upon the symptoms do not apply heat to the injected part to avoid abscess formation thanks
cough and cold only during nightime in winters is this a known medical condition  my friend female aged 26 has this weird condition where she gets cough and cold only in the nightime in winters but she stays fine during summers whenever temperature drops her condition gets worse she has visited atleast a dozen general physicians some of them have told her that she is allergic to cold weather she has tried all sorts of cold and cough medications as prescribed by the doctors but nothing ever helped so i am just curious if this allergy from cold weather is real or not,most humans get colds during the colder weather because people are inside more and viruses are more active and prevalent at that time this is common for everyone not just you the cold air temperature does not cause illnesses there is no such thing as being allergic to cold weather one can get a runny nose or even a reactive cough from changes in air temperature or humidity but this is not an allergy or an illness just a normal bodily response she could be more sensitive to those things but it is definitely not an allergy to cold weather this person could have allergies to something in her sleeping environment like dust dust mites feather pillows detergents etc which could make symptoms appear worse at night but she would need to be allergy tested to make that determination
could i be pregnant 7 days late i had a period on september 29th and spotted on the 15th for a hour or two and then did not have a period until november 4th had a blood test earlier that day and it was negative but now breast very sore and tender and i still had one last period when i was pregnant with my son could i be pregnant i keep reading about all these women who had negative tests til months in please help,there is nothing wrong you are completely normal this phenomenon is quite common and is often referred to as a wet dream in most cases you were having an erotic or sex related dream perhaps one you did not remember when you awoke and your excited brain which controls erections and ejaculation went into full mode just like you are having sex for real in a way this is among the safest sex of all no risk of a sexually transmitted disease or unintended pregnancies you may have to do some laundry however
is it constipation or pancreatitis,well there is honestly no way to tell without having a physical examination however common sense would say a more likely cause of abdominal pain would be constipation not pancreatitis constipation is much more common chances are if you had pancreatitis you would know it you probably would go to the emergency room since acute pancreatitis not only is very painful but usually causes nausea vomiting and a fever if you have upper abdominal pain that does not go away and is accompanied by other symptoms like fever and vomiting your best bet is not to try to self diagnose go to an urgent care for a diagnosis wishing you well
i am trying to lose weight what kind of exercise should i start off with how long do i do them until i up my regimen,the guidelines for exercise from the american college of sports medicine is to build up to 20 60 minutes of continuous aerobic activity 3 5 times a week at 60 90 of max heart rate and 2 3 days of resistance training resistance training should be one set of 8 10 exercises that condition the major muscle groups 2 3 days per week 8 12 repetitions of each exercise 10 15 repetitions may be more appropriate for older and more frail persons approximately 50 60 yr of age and above multiple set regimens may provide greater benefits if time allows one thing to do is identify your goals if you are interested in building up stamina then aerobic activity cardio will work if you want strength then it is resistance exercise i suggest doing both if you can for cardio you could walk bike swim elliptical or any other activity that gets your heart thumping you can start with just 10 minutes if you like i like the 5 minutes out 5 minutes back plan just like it sounds you walk out for 5 minutes turn around and walk back that is it 10 minutes of walking and off you go about your day if you feel ambitious you can do 7 5 or even 10 minutes out and back and add some abdominal crunches when you finish for resistance exercise i suggest an investment in exercise tubing tubing is inexpensive and versatile you can do lots of exercises withthem even in a chair and a great way to get started with resistance exercise you can start with a set of three for about 20 they come in colors to denote the tension if you order them make sure to order the strap that allows you to attach the tube to a door this is important and if you want to work your legs ask for leg straps some excellent webmd resources for starting exercise arehere <link> this article has superb fitness resources at the end about getting started <link> the government also does a great job with physical activity resources you can start here <link> <link>
my skin is scaly especially with shaving it is also becomes very dry from sun is there a cream that can help this,there is no nutritional value in them and the use of artificial sweeteners in them is of enough concern that i would try & find a healthier way to quench my thirst not to mention the cancer causing caramel coloring found in them
is anyone allowed to apply for health insurance through the marketplace  even if they currently have insurance,yes if you do not get insurance through work or a group and buy it yourself you can shop for a new plan to see if you can find something
how do stds affect pregnancy,at your first prenatal visit your health care provider will perform standard blood tests to check for several sexually transmitted diseases stds including hiv your baby can contract hiv from you while in your uterus during delivery or through your breast milk chlamydia untreated it can cause preterm labor preterm rupture of membranes and postpartum endometritis inflammation of the lining of the uterus babies who are infected during birth can suffer from pneumonia or conjunctivitis which can lead to blindness if untreated gonorrhea untreated gonorrhea can cause eye problems for a newborn often leading to blindness hepatitis b if your baby is infected he or she may suffer serious liver problems syphilis a pregnant woman can transmit syphilis to the fetus leading to skin lesions or problems with the liver spleen bones or nervous system
what is emphysema,although consuming a moderate amount of alcohol can have some potential health benefits drinking too much alcohol can raise your blood pressure a moderate amount of alcohol consumption per day is considered 2 servings for men under 65 years old and 1 serving for women and men over 65 years old a serving is considered 12 ounces of beer 5 ounces of wine or 1 5 ounces of 80 proof distilled spirits so the answer to your question depends on if you are male or female how old you are and whether you are having an appropriate serving size if you are already an alcohol drinker small amounts of alcohol may actually lower your blood pressure but this is not to suggest that you start drinking if you do not already the potential benefits of alcohol need to be weighed against the possible detrimental health effects since consuming alcohol can lead to other health problems too this would be an area to discuss further with your doctor drinking too much alcohol in one sitting can temporarily raise your blood pressure and drinking too much on a regular basis can cause long term blood pressure problems keep in mind that consuming excess alcohol can also increase calorie consumption which could possibly lead to weight gain another risk factor for hypertension it is typically not recommended to start drinking alcohol if you do not already and it is important to limit alcohol consumption to moderate amounts if you already consume alcohol no yes yes if its a women
should i wear a knee brace since i had surgery and now have oa damaged the inside right meniscus due to working seven days a week and lifting and pushing heavy stock had surgery in 09 ever since my knee has stayed swollen gives out or locks up more often severe pain shooting throught it and it is bone on bone now so do i need to get a brace and wear and perhaps look into some treatments that might help to rebuild the damaged knee,i would suggest you see a doctor about this you can start with your primary care provider and he or she will refer you to an orthopedic doctor if necessary you do not say exactly what kind of surgery you had in 2009 i am thinking it was an arthroscopy to remove pieces of the meniscus if this is the case and you are experiencing new or worsening symptoms you would be well served to see a health care provider i would not necessarily recommend wearing a knee brace you could reduce your range of motion and have a hard time getting it back the only way to truly solve this problem is to get an examination by a health care provider he or she can discuss with you all the various options from physical therapy to surgery that can help solve your knee problem good luck there are promising new treatments that are being developed using stem cells to stimulate cartiledge growth your orthopedic surgeon is focused on surgery so he probably will not mention this and may not know about it after having one successful knee replacement arthritis i am biding my time till this treatment becomes available for the other knee
how can i affored to get my tubes untied,that procedure can be very expensive and never covered by insurance so save you money this procedure is also not 100 many women pay thousands of dollars for a tubal reversal only to have it fail you may be better off paying for in vitro or consider adoption
can lactose intolerance cause weight gain if all my food rushes through could my body be overdoing calorie retention  if all the food i eat constantly rushes through could my body be overcompensating and desperately trying to get calories out of food because it usually rushes out  i have timed my body before and high lactose items last 15 minutes until desperate release this sounds like the gi may have to be in high gear just to try to absorb food if it is in this gear when i do not have lactose i feel it may be a reason for weigh gain or retention,although its an interesting theory it is not supported by science lactose intolerance does not cause weight gain excess weight occurs when you eat more calories than your body burns in fact people with more serious gastrointestinal problems like ulcerative colitis or crohns have food rush through them and they tend to be underweight and sometimes malnourished the body does not seem to overcompensate
any advice for migraines during menstruation  i have recently 3 or 4 years been having trouble with migraines during menstruation taking iron helps but i have to take a lot 365 dv or more it only worries me because the doctors i have told about it are confused as to why iron would work but they said that if it does i should just keep taking it but the migraines are starting earlier several days before my period and staying longer and need more iron to get rid of them is there something else that could be causing this,it is probably not that you are allergic to any spf but rather that you are allergic to the chemical ingredients used in certain sunscreens you should choose a sunscreen with a physical blocker such as zinc oxide or titanium dioxide before you throw in the towel altogether on using sunscreen
i took tablet metronidazole 5 hours after i had taken 20 ml of red wine what can i do now,hi metronidazole and alcohol interaction causes disulfiram like reaction this leads to nausea vomiting tachycardia increased heartbeat shortness of breath etc if you had consumed red wine 5 hours before the drug intake then it is all right there is nothing much to fear you may have nausea and vomiting but that would be minimal and temporary 5 hours is ample time for the wine to be metabolized in the body for further follow up consult a family physician online   > <link>
what if i am getting pale color stools on a regular basis but with out feeling pain from gallbladder  im having pale colored stools 2 3 days a week i know this is because of low bile but why do i keep having low bile and diarrhea could something be wrong with my gallbladder even though im not having much pain sometimes i have pain on my left side but its not very bad the pain happens when i urinate though,eat more fiber and check diet
i am 5ft 2 i havnt eaten for 88 days but drink only tea with 1 sugar how much harm am i putting my body and brain in,yes you are absolutely putting yourself at risk for serious health complications if you have not already simply put your body is not receiving the nutrients that it needs to maintain its normal biological processes and function consuming only tea with sugar would not be providing your body with an adequate amount of proteinessential amino acids essential fatty acids carbohydrates vitamins and minerals that your body needs for proper maintenance these nutrient deficiencies can lead to serious health problems i would suggest speaking with a doctor or registered dietitian and consider amending your diet immediately
i have an allergy for dust mites now pain in back of head when i cough,topical retinoids hydroquinone and fruit acids glycolic acid citric acid lactic acid and kojic acid are the mainstay of treatments for treating melasma type hyperpigmentation in addition we recommend staying out of the sun and using a reliable form of sunscreen one with an spf of 30 or higher if you are a woman using birth control you may want to check with your health care provider to see if you need to change your birth control formulation sometimes hormone changes such as those due to pregnancy can also contribute to melasma
can you overfeed an infant,i really do not have enough information to specifically address your question to a particular infant age current weight diet but yes an infant can be overfed they usually spit up in those cases you may want to repost your question with more specifics
how can i convince a reluctant child to get a flu shot,convince a reluctant child to get a flu shot who is the adult and who is the child there is no convincing a child i have seen bribery done if it was my situation the child would have learned right from the beginning that sometimes we must do things that are not the most pleasant but will be over soon never lie to a child and say it will not hurt there was one thing i taught and allowed my children to do for a shot either alone or accompanied by me to sing as loud as possible happy birthday it always worked and they always wanted me to sing along loud of course the dr was warned first
get boners easy can i decrease visual arrousal  whenever i see something ahem hot i always get hard and want to masturbate i am 16 so it could just be the time in my life but is there anything i can do to help,for anemia caused by problems of the bone marrow and stem cells anemia tends to be more persistent and difficult to treat the treatments for hereditary anemias such as thalassemia or sickle cell disease vary widely and depend on the specific condition and the severity of symptoms some anemias will not require any treatment while others may require repeated transfusions and other aggressive measures although aplastic anemia will occasionally go into spontaneous remission people with this disorder generally require bone marrow transplantation
have persistant mild moderate sore throat been nearly two weeks otc aids little relief time to see doc,yes it would be appropriate for you to see a medical provider so that you can have your throat properly examined a sore throat primarily in the mornings wiht improvement in the afternoon may be due to post nasal drainage at night accompanied by mouth breathing allergies can cause this but so can back to back viral infections mononucleosis is a virus that can cause a sore throat people also worry about a lingering strep infection so this can be tested for during your examination if your medical provider feels it is necessary as you have read there are many possibilities to consider so you are wise to seek medical care at this point i would say so it may be something minor like dryness due to furnace season being upon us or post nasal drip but since the symptoms are bugging you and are not responding to over the counter otc remedies you will not lose anything by seeing the doctor it could be you have a sinus infection or something else that is treatable and then you will not be uncomfortable anymore best wishes to you
i read an artical that said you can take more than 10 000iu of vitamin d3 for weight lose is that true health risks,vitamin d is not given for weight loss but it is common for people with excess weight to have low vitamin d levels a doctor may prescribe very high levels to bring levels back up it is not recommended for someone to give themselves more than the tolerable upper limit of vitamin d 4 000iu unless prescribed by a doctor although toxicity is rare it can occur causing increased calcium levels in the blood for more on vitamin d supplementation see this article
what are the chances of hivstd as std can transmit from infected person to uninfected person through mucous membrane,what about the blisters on my scrotum
how much should 1 year old eat,toddlers need between 1 000 to 1 400 calories a day this depends on age size and physical activity although most toddlers are considered active this link will provide the daily servings per food group with examples for a 12 24 month old toddler it also gives tips for toddler development such as signs when a toddler is ready to self feed
which nuts are most likely heart healthy,dental benefits are an essential health benefit for kids ages 19 and younger
what is the recovery period for bilateral knee replacement,the best thing to do is just keep it clean   if you want to cover it to protect it from being hit rubbed or dirt then use gauze   change it often to keep it from sticking
period like symptoms no period or could i be pregnant hi i have had for the last week slight cramping on and off sore breasts milky white discharge over a week period is 6 days late it does feel like my period is coming but nothing have had unprotected sex with partner and have done test at 5 days late but negative,most helpful answer yes usually in the same or same general area if you have it on the right side of your chest the first time it is likely to be on the right side of your chest the second time but fortunately it may not be as severe
what is a turp i was told yesterday by a cardiologist that a turp is the removal of the prostate i know that is not accurate can you explain why he thought that,most helpful answer it is not the removal of the prostate but more of a roto rooter if the prostate while the patient is under anesthesia a cystoscope is inserted in the urethra to the prostate using a laser or other special device the prostate tissue is literally shaved off to increase the size of the lumen
my husband is lethargic sleeps a lot during the day is losing weight and has no appetite,whether she wants to go or not is irrelevant she needs to go because she is having signs of a urinary tract infection perhaps one that is involving the kidney like a pyleonephritis she could also be passing a kidney stone either one of these could be serious so waiting is not a logical option as you know it is not normal to pee blood hematuria since the kidneys are located high in the back it would be in her best interest to seek medical care so she can be properly diagnosed and treated it may be up to use to convince here
i have had a strange itch on my clitoris for a few weeks now what may be causing this  my vagina does not itch at all but it is dry and has a sour smell every now and then the itch comes and goes throughout the day and is more annoying than anything else i use a feminine wash and a feminine deodorant spray i have tried to alter things by taking them away one by one and then adding them back to see if they were causing the problem but no luck strangely enough when i went on vacation to the beach for a week the itch went away but returned once i came back home,contact allergy could do it dryer softener sheets with perfume is high on my list followed by enzymatic detergents and bath soaps it could even be that feminine spray even if you have used it in the past products often change ingredients without changing the brand name a yeast infection is quite common in this area so if the itch is limited to the clitoral area use a topical antifungal perhaps mixed halfhalf with 1 hydrocortisone cream
our 23 year old will be filing independently in 2014 we will claim her in 2013 for the last time  will she then apply for health insurance as an individual after jan 1st and get a subsidy based on her income alone then would the remainder of the family have insurance based on husband wife and teenage son using my husband is income in 2014 as household income and a family of three,if you will no longer be claiming your 23 year old on your taxes she would use her 2014 estimated income to apply for a subsidy you are correct that the remainder of the family would be a family of three and would use the household income to see if you qualify for a subsidy
can a woman get pregnant while breastfeeding,yes even though breastfeeding may suppress or delay menstruation you can still get pregnant ovulation will occur before you start having menstrual periods again so follow your doctor is recommendation on the appropriate method of birth control to use
red spots on penis which looks like tiny pimples i went to a dermat who recoed me some antibiotics and steriod creams mid march after these spot had subsided i noted that my shaft was blood red but very dry so again visited dermat and he said its nothing but allergy and gave me moisturiser some steroid cream now come mid april the red spots noted in mid feb are back again although much lesser this time i dnt have any other associated symptoms such as itching burning or pain during or without urination but im worried about why it is taking so long to heal,the late seanhh is here to the rescue trying to sell the same snake oilcream guys baby oil will do just as good for penis health and far cheaper ok
is it possible for the female to test positive for clamyida and her partner tests negative,yes it is possible for female partner to test positive and other negative your doctor will advise treatment regime for both the partner simultaneously even if the test is negative for one of the partner follow all preventive measures to avoid stds once the treatment is completed
does a person get a high from capsule medical marijuana does it dull pain or just make the pain tolerable  could this help a 95 year old who is in severe pain from spinal stenosis and arthritis does it really have any long term effects on memory,in most cases    about seven in 10 people    the cause of epilepsy is unknown in other cases epilepsy can have a symptomatic cause such as birth injuries head injuries and infectious diseases including meningitis and encephalitis it can also be caused by genetic conditions and stroke
how contagious is chlamydia my now ex bf tested positive and i am negative my bf and i were pregnant i lost the baby but not before i got tested for all std is which all came back negative my bf and i did not have sex after we found out i was pregnant but just last week he called and told me he was positive for chlamydia how likely is it that i did not get it if he had it when we had unprotected sex for 3 months,it is very unlikely that you did not get an std while having unprotected sex with your boyfriend if he had chlamydia at that time as well if you have not had sex with him since you became pregnant and you tested negative i am sure you can do the math
nurse suffered lancet cut after lancet used on hiv patient,i am a nurse it is blood contact i would take no chances i would sleep better at night
does anyone out there know what sweets syndrome is,well not exactly the lung does not rupture  exactly it can collapse though this is called  pneumothorax  a broken rib can indeed puncture your lung in fact it is not all that uncommon if you watch any of those real life trauma shows on television you will see emergency room personnel placing chest tubes in patients due to collapsed lungs and you can bet some of those collapses occurred due to fractured ribs but if by cracked you mean not completely fractured or displaced  then the answer probably is no  when a rub breaks and the two sides pull away from each other then one of them can puncture the lung if a rib is cracked but the ends never comes apart then it is unlikely to penetrate the tissue surrounding the lung on the other hand if you took a forceful blow to the chest that alone could cause a collapsed not ruptured lung so if you experienced chest trauma sufficient to crack a rib you certainly could experience a pneumothorax surprisingly you can experience a collapsed lung without any known cause whatsoever wishing you well
what should i do if i suspect an overdose of cheratussin ac,call your insurer directly to ask
had abnormal period related things usually never had ex spotting before period white discharge could i be pregnant  last month i took my pill irregularly my husband and i did not have sex when i normally am ovulating but i began to spot seven days before i was supposed to start my period and had only a lighter period but definitly had one this month i am off the pill because my prescription ran out and i need more my husband and i have had sex this month but used condoms i am however 5 days late with my period was also very stressed around ovulating what is the likeliness that i am pregnant,i have had these symptoms but i am going through peri menopause i am 47 my mother went through menopause at 50 but you could still be pregnant take a test as soon as you can and of course see your doctor
please help sitting blood pressure 185109 and standing bp is 11793 my husband is on several bp meds incl clonodine his bp runs 210115 to 175100 he excercises regularly and his bp goes down for a while after recently we noticed that his bp is lower when taken standing vs sitting it spikes during the night always he had a 5 way bypass at 50 years old because his bp was never controlled what can we do please help we need a dr house to figure out what is wrong with him and why medication is not working thank you,my daughter caught it from her friend 5 yrs ago and it was from putting her slippers on i never caught it tho when i rubbed the ointment on her back where it was i immediately washed my hands tho too i guess different people affected differently by things
why did the er ra prescribe amoxicillin for acute pharyngitis with only a physical exam,hi just a couple of questions do you know just where you were through your cycle was you past day 14 after taken plan b did you have a short bleed just answer through answer this above ps there a 5 chance of getting pregnant when taken plan b if you had a short bleed this could be why your late
i have medical problems with my right knee i need to be in treatment but do not have insurance  how can i get low cost insurance to pay to get my treatment asap,everything that we consume whether it is food medication prescription and over the counter or a supplement vitamins and herbals can have toxic side effects if you take too much the side effects can vary per product vitamin d is needed to aid in absorption of calcium high levels of vitamin d can lead to high levels of calcium and symptoms include nausea vomiting constipation poor appetite weakness confusion and kidney stones to treat toxicity seek medical advice and discontinue the use of the product until advised by your health care provider to resume use
in a lot of pain i get to the point we are standing up is a problem and laying in bed is extremely uncomfortable,teeth grinding is frequently a normal part of tooth eruption sometimes if the grinding is excessive have a pediatric dentist evaluate your son to see if an oral appliance or retainer might help
how are gallstones treated,you might start your sleuthing by looking up your son is medications by name in webmd is drugs and medications database however the best thing you can do is encourage your son to make an appointment and get checked out by his doctor in person with the symptoms you describe it is probably best that he do something soon the webmd answers staff
is there an equivalent over the counter medication for pantoprazle 20 mg tab  i have been prescribed pantoprazole 20 mg tablets 1 per day and would like to know if there are any over the counter alternatives to this medication as i currently have no health insurance,i wanted to further clarify that i do not get nauseous after eating am not pregnant and do not smoke or drink thanks
can bupropion be used to treat fibromalayga and or osteosrthritis,do not take a drug that expired five years ago
i have had burning swelling and itching of my labia minora on the left side near the vaginal opening that side has gotten longer than the right side and a little swollen on the outer edges i also have a whitishpinkish pimple on the left side of my labia majora what could this be,so one of the things that we are learning now is that protein can have a pretty big effect on sleep so if you are on a high protein diet one of the things we know is that actually can be very alerting whereas if you are on a higher carbohydrate right before bed that can actually make you more sleepy
35 weeks pregnant my vaginal walls are so swollen i cannot see inside and my pelvis hurts,hi at 35 weeks pregnancy you are almost on the verge of delivering a baby due to peak effect of the hormones at this time your body has swollen this and the pelvic pain is normal for pregnancy and is expected if you have any other difficulty related to urinary tract then you can contact er otherwise all the symptoms will fade away after delivery thanks
53 years old having chronic pain between shoulders for over 3 months,you will need to see your medical provider    someone who knows you and your medical history and someone who has the ability to examine you first hand it would not be possible to determine a specific cause of your stomach ache blindly over the internet let alone treat it
i have a perforated eardrum with dulled hearing should i keep my ears un popped  i have a perforated eardrum that my doctor expects to heal on its own my hearing is noticeably dulled but there are certain times during the day when my ear will pop and my hearing is normal for a brief period of time while this is a relieving feeling i am wondering if its occurring due to the rupture either opening or closing,do not try to pop your ears your perforated eardrum is trying to heal and any increased pressure from tying to pop them could interfere with the natural healing which may take several weeks depending on the size of the perforation the feeling you are experiencing may be more related to the inflammation of your eardrum than the need to pop your ears
i want to know if there is any hope of me getting pregnant after endo ablation i had this procedure done for excessive bleeding and at the time was not concerned with future pregnancies but have since gotten married and would like to try if at all possible the first month after the procedure my period was light and tolerable but has since upgraded back to a 5 day flow with 2 days still heavy im wondering if the procedure even worked i guess even,i had it done in june and they said its not safe to get pregnant it can cause miscarriage or harm urself and the baby there can be lots of complication after this kind of surgery
is there any way to speed up a cold once you feel one coming on,aaaaaaaaaaaaaaaaaaaa
could i be pregnant i was starting my cycle 10 04 2012 but it only lasted 4 days 2 days were heavy 2 were light my cycle is usually 6  7 days but this time it was only 4 days 2 days were heavy and 2 were light my cycle started on 100412 101312 i was shoppin with my mom perfectly fine and all of a sudden i fell sick feeling came along and i throw up then i am fine again i tested last week it said negative i am having side pains mid lower upper pains of abdomin or stomach my stomach is tight,i am sorry that you have to feel sick
my daughter is 5 years old and obsessed with her weight is she developing an unhealthy body image,hi ok i think i see what you mean no he is right you cant get a cold by being cold or working outside without extra clothing and the same for flu there both virus is and can only be passed on from somebody else working outside in fresh air is very good for you do hope this helps you good luck
should an infected bartholin cyst be drained,the advice you have probably heard dozens of times from your doctor    wash your hands throughout the day    really does prevent infections warm water and soap will kill the germs but be sure you do not rush “i try to wash for 20 seconds    sing ‘happy birthday to myself twice ” says nancy hughes ms rn director of the center for occupational and environmental health in silver spring md she is also careful after she washes “i use a paper towel to dry my hands and to turn off the faucet especially in public bathrooms ” no matter how clean they may be remember this hands are veritable germ factories so keep them away from your nose and mouth also keep them away from your food during cold and flu season “i try to bring something i can eat with a spoon or fork rather than a sandwich i have to handle ” says sandra fryhofer md macp clinical associate professor at emory university school of medicine and a general internist in atlanta “if you are going to eat a sandwich put a tissue or paper towel around it ”
how long does a sinus infection last  have had it since first of march   taken 10 days of strong antibiotic and then 10 days of strong musinex   getting better   will it eventually go away on it is own,sorry your split skin just sea wash it twice a day till it heals use no creams or lotions it will slowly get better good luck
i receive medicare and qmb benefits due to having ms and am unable to work  the disability benefits i receive are barely enough to live on i also receive additional assistance from the chronic disease fund to help cover my ms medications what can i expect in changes to my current medical coverage,take nothing unless you specifically get the okay from the surgeon and the anesthesiologist otherwise your surgery could be abruptly cancelled
menometrorrhagia after 49 my wife is 49 and she is not pregnant but she has abnormal intervals of her menstrual cycle but she gets spotty and bleeds more frequently between the cycles and it is every 20 days,lungs are not muscle so there is nothing specific you can do to train them like you might your legs but aerobic activity will get them back into what they do best which is process oxygen and send it to your heart and after just a year of smoking you will get it back i suggest you just go slowly and work within your capability keep in mind that it is not just the lungs you are fighting but deconditioning too even if you had not been smoking you would still be struggling since it is been a year with no activity do not expect to get right back into where you were fitness wise when you stopped particularly if you were very fit but you will notice effects in just a few weeks if you pace yourself and within a few months your fitness will improve substantially so give it 12 16 weeks to notice real differences and then you can take it from there good job on quitting smoking it is the most dangerous health risk there is
can you get sick if you just keep using cough drops for the hell of it as if a person is addicted to it or has a probem i have a friend that i am concerned about she keeps taking cough drops right and left for no reason at all shes also 80 yrs old at some points she smells like hall is the cough drop you can smell it miles away is this good or bad and why,osteoporosis makes your bone brittle due to lack of calcium nutrition and even aging scoliosis is an abnormal curvature of the spine often first detected at puberty in both boys and girls osteoporosis may lead to scoliosis
my daughter passed away 4 months ago i am having a lot of chest pain and anxiety i my doctor says im fine is this grief i have been checked by a cardiologist a 2 months ago had a stress test done echocardiogram and an ekg been told i am fine just do not understand why i am having chest pain if nothing is wrong it is a stabbing pain that only last a few seconds but comes and goes through out the day,i facilitate a griefshare worldwide program that helps people who are grieving a death to find solace and to learn what to expect in the different phases of grief it can be very normal to develop physical symptoms like you are having to be a part of a griefshare program go to www griefshare org and check in your area by entering your zip code to see if there is one available near you i have seen it help many to understand that grief is real it is normal after a loss but the good news is that it will end grieving and missing your loved one is not the same thing you will stop grieving in time but you will always miss them and thankfully missing them is much easier than the grieving process my prayer is that you can find a griefshare near you and begin very soon god bless you
